Column,Attribute
Section,1
Type,H
Core,1
Hole,D
Site,U1422
Exp,346
Sample,346-U1422D-1H-1-A
Top [cm],0
Bottom [cm],23
Top Depth (m),0
Bottom Depth (m),0.23
MAJ Lith. Prefix,diatom bearing
MAJ Lith. Principal name,"silty clay "
MAJ Lith. Suffix,
MAJ Lith. prefix+name+suffix [read only],"diatom bearing silty clay "
TEPHRA type,
Amount of ash in lithology,
Amount of ash in lithology rank [read only],
Sediment structures,parallel lamination
MAJ Lith. color,5YR 4/4 (reddish brown)
Bioturbation intensity,
Bioturbation intensity rank [read only],
Clast abundance,
Number of clasts (>2mm),
Clast 1 igneous -  grain size,
Clast 1 igneous -  roundness,
Clast 2 sediment - grain size,
Clast 2 sediment - roundness,
Clast 3 metamorphic - grain size,
Clast 3 metamorphic - roundness,
Lith. accessory shell fragment,
Lith. accessory cement,
Lith. accessory nodule/concretion,
Lith. accessory sulfide,
Lithological accessories comment,
Macrofossil,
MAJ Lith. prefix + name,"diatom bearing  silty clay "
MAJ Lith. name+suffix,"silty clay "
MAJ Lith. abundance [%],100
"MAJ Lith. ave. grain size ",
MAJ Lith. ave. grain size rank [read only],
MAJ Lith. max. grain size,
MAJ Lith. max. grain size rank [read only],
Diagenetic constituent,
Diagenetic constituent composition,
Deformational structures,
structure,
General interval comment,
MIN Lith. Prefix,diatom bearing
MIN Lith. Principal name,"silty clay "
MIN Lith. Suffix,
MIN Lith. prefix + name,"diatom bearing  silty clay "
MIN Lith. prefix+name+suffix,"diatom bearing silty clay "
MIN Lith. name+suffix,"silty clay "
MIN Lith. color,5YR 4/4 (reddish brown)
MIN Lith. abundance [%],
"MIN Lith. ave. grain size ",
MIN Lith. ave. grain size rank,
"MIN Lith. max. grain size ",
MIN Lith. max. grain size rank,
Lith. abundance sum [%],100
Bottom contact or boundary type,
Bottom contact geometry,
Ship File Links,
Shore File Links,
File Data,
Section,1
Type,H
Core,1
Hole,D
Site,U1422
Exp,346
Sample,346-U1422D-1H-1-A
Top [cm],23
Bottom [cm],38
Top Depth (m),0.23
Bottom Depth (m),0.38
MAJ Lith. Prefix,
MAJ Lith. Principal name,"silty clay "
MAJ Lith. Suffix,
MAJ Lith. prefix+name+suffix [read only],"silty clay "
TEPHRA type,
Amount of ash in lithology,
Amount of ash in lithology rank [read only],
Sediment structures,
MAJ Lith. color,10YR 5/1 (gray)
Bioturbation intensity,
Bioturbation intensity rank [read only],
Clast abundance,
Number of clasts (>2mm),
Clast 1 igneous -  grain size,
Clast 1 igneous -  roundness,
Clast 2 sediment - grain size,
Clast 2 sediment - roundness,
Clast 3 metamorphic - grain size,
Clast 3 metamorphic - roundness,
Lith. accessory shell fragment,
Lith. accessory cement,
Lith. accessory nodule/concretion,
Lith. accessory sulfide,
Lithological accessories comment,
Macrofossil,
MAJ Lith. prefix + name,"silty clay "
MAJ Lith. name+suffix,"silty clay "
MAJ Lith. abundance [%],100
"MAJ Lith. ave. grain size ",
MAJ Lith. ave. grain size rank [read only],
MAJ Lith. max. grain size,
MAJ Lith. max. grain size rank [read only],
Diagenetic constituent,
Diagenetic constituent composition,
Deformational structures,
structure,
General interval comment,
MIN Lith. Prefix,
MIN Lith. Principal name,
MIN Lith. Suffix,
MIN Lith. prefix + name,
MIN Lith. prefix+name+suffix,
MIN Lith. name+suffix,
MIN Lith. color,
MIN Lith. abundance [%],
"MIN Lith. ave. grain size ",
MIN Lith. ave. grain size rank,
"MIN Lith. max. grain size ",
MIN Lith. max. grain size rank,
Lith. abundance sum [%],100
Bottom contact or boundary type,
Bottom contact geometry,
Ship File Links,
Shore File Links,
File Data,
Section,1
Type,H
Core,1
Hole,D
Site,U1422
Exp,346
Sample,346-U1422D-1H-1-A
Top [cm],38
Bottom [cm],46
Top Depth (m),0.38
Bottom Depth (m),0.46
MAJ Lith. Prefix,
MAJ Lith. Principal name,silty clay [MMK88]
MAJ Lith. Suffix,
